index,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z
11,-385,-1076,16805,331,-1127,-1247,-328,-1351,17139,355,-1121,-1265,-591,-1586,17398,401,-1096,-1289,-1095,-1801,17450,439,-1068,-1298,-1608,-1928,17311,480,-1042,-1293
12,11373,185,12374,-326,-44,369,11527,64,12336,-297,-40,363,11600,65,12149,-269,-24,359,11760,5,11788,-240,-17,355,12114,-19,11463,-212,-5,338
13,10873,3781,11823,182,-102,13,10957,3767,11741,177,-68,3,10997,3856,11648,170,-39,-8,11121,3788,11578,173,-2,-26,11174,3898,11613,176,50,-53
14,2512,-2700,16555,205,144,-8,2058,-2554,16191,258,88,71,2062,-2243,15931,269,39,113,2334,-2150,15757,258,-2,142,2577,-2197,15590,239,-15,161
15,4374,1936,14093,76,74,-87,4710,2081,14197,32,180,-47,5072,2296,14408,-7,265,-16,5834,2620,14951,-59,312,-3,6826,2883,15670,-118,318,-12
16,3147,2083,16257,-133,98,224,3002,1990,16241,-83,103,198,2764,1923,15954,-30,95,175,2848,1887,15535,1,85,154,3190,2004,15281,-2,75,131
17,-2362,-190,15534,-723,1773,-11,-2850,-723,16327,-732,1562,-99,-3616,-1420,17003,-701,1385,-166,-4222,-1876,17555,-631,1228,-232,-4656,-1833,18030,-522,1104,-308
18,-4063,-1777,15994,-692,2847,-231,-4446,-1766,16502,-629,2601,-282,-4475,-1859,16860,-559,2330,-352,-5454,-2375,17040,-311,1730,-420,-5796,-2013,17186,-156,1423,-467
19,-3632,-971,13971,-334,1223,-60,-3673,-1103,14128,-392,1212,-74,-3843,-1157,14403,-452,1231,-78,-4129,-1372,14696,-511,1258,-76,-4286,-1667,15007,-560,1277,-68
20,27,856,15617,294,-597,316,124,878,15109,253,-422,307,211,988,14672,197,-296,284,434,946,14242,134,-222,252,561,1067,14010,70,-207,216
21,-428,1286,15853,-50,151,-87,-102,1300,15723,-22,65,-89,168,1480,15669,-23,31,-87,467,1443,15642,-32,31,-93,601,1475,15801,-44,56,-103
22,-4329,762,15702,-618,1569,288,-4642,838,15580,-619,1519,279,-4961,888,15580,-603,1453,279,-5179,914,15676,-584,1359,283,-5391,680,15750,-560,1250,270
23,34,-576,17459,-262,-1325,-143,-434,-554,17628,-185,-1325,-109,-831,-282,17573,-100,-1411,-93,-997,-179,17420,-12,-1570,-106,-936,-130,17210,77,-1780,-137
24,-146,1363,15471,-654,1639,245,-540,1198,15893,-690,1688,266,-802,979,16193,-714,1711,272,-877,772,16526,-725,1714,276,-731,679,16834,-712,1723,282
25,4415,2231,16034,0,298,-627,4440,2028,16182,-19,391,-628,2926,1877,16574,-29,544,-663,1729,1839,16597,-18,521,-694,957,1775,16551,12,417,-725
26,829,-2880,15215,156,245,-891,139,-3179,15471,56,358,-807,-356,-3526,15556,-58,495,-699,-482,-3590,15603,-156,617,-566,390,-3164,15631,-234,713,-444
27,7276,5978,13196,882,748,4552,6964,5807,13810,689,840,4584,6382,5468,14045,460,899,4579,6379,4919,13888,188,897,4507,6580,4154,13643,-114,872,4383
28,3485,-748,15466,-1192,-418,-3112,4069,-1168,15864,-1355,-483,-3196,4819,-1517,16092,-1500,-507,-3275,5649,-1678,16309,-1611,-478,-3346,6036,-2063,16303,-1691,-392,-3390
29,3931,1011,15662,69,200,-951,3965,893,15679,88,204,-982,4064,912,15636,106,216,-996,4004,899,15523,111,233,-1000,4143,668,15389,85,213,-970
30,-10293,-1395,12158,-577,330,135,-10833,-1329,12350,-601,317,167,-10964,-1230,12593,-635,267,204,-11381,-1173,12432,-674,210,253,-11157,-1009,12235,-711,111,325
31,8131,-1909,14186,730,167,1746,8399,-1804,14279,828,184,1860,8509,-1442,14292,917,207,1962,8533,-944,14280,982,234,2039,8511,-423,14175,1015,253,2088
32,2500,-3050,16394,-956,-208,-985,2374,-3017,16310,-957,-216,-1012,2282,-3188,16405,-945,-249,-997,2396,-3160,16454,-922,-296,-983,2580,-3001,16285,-891,-330,-972
33,6931,7967,12392,724,731,1262,6972,7910,12465,700,745,1309,6932,7817,12312,700,774,1346,6905,7800,12045,719,798,1371,6770,7837,11878,753,826,1391
34,6085,-5915,15681,521,-136,-2289,6095,-5202,15793,575,-139,-2285,5720,-4510,15582,608,-136,-2254,5729,-4036,14887,616,-123,-2206,5474,-3338,14746,605,-99,-2146
35,5408,487,15299,-760,797,-470,4992,442,15525,-764,860,-522,5095,245,15598,-769,902,-549,4766,31,15542,-764,937,-554,4062,-478,15630,-745,955,-560
36,7142,1871,14522,-407,-135,1173,7386,1909,14530,-406,-184,1211,7532,1933,14481,-405,-218,1225,7333,2324,14331,-403,-237,1240,7249,2105,14250,-472,-271,1324
37,-1240,5941,14826,500,-803,1087,-686,6015,15005,444,-773,1147,-259,5738,15261,369,-710,1181,-160,5210,15496,286,-642,1183,228,4714,15396,210,-599,1142
38,-6,3800,15568,789,-504,1532,165,4225,15364,818,-483,1497,74,4504,15288,815,-468,1466,-154,4731,15198,787,-477,1446,-363,5080,15140,744,-501,1430
39,3943,-880,15841,1146,-695,121,3889,-790,16047,1187,-642,200,4048,-586,16061,1227,-598,268,4256,8,15772,1249,-557,304,4382,171,15768,1235,-540,311
40,1488,3098,15463,37,396,2438,1293,3330,15138,-4,382,2397,1030,3604,14866,-50,392,2323,687,3610,14781,-108,411,2219,523,3338,15078,-183,410,2100
41,4301,3443,13972,566,204,743,4132,3528,14444,528,209,754,4199,3788,14805,484,199,757,4472,4031,14909,456,170,748,5076,4113,14982,450,155,723
42,267,-8874,15583,399,244,890,223,-8323,15254,458,213,857,390,-8040,14284,496,164,820,-1137,-7460,14227,520,62,778,-1009,-6716,14148,528,-139,723
43,343,2100,16041,539,-1410,-1761,-1026,2075,16058,520,-1368,-1795,-1986,2322,16227,499,-1437,-1875,-2250,2275,16336,475,-1548,-1976,-2235,2499,16406,524,-1589,-2069
44,-9785,-498,13057,-105,697,-251,-10253,-25,12840,-54,694,-239,-10603,349,12644,-19,664,-224,-10700,515,12407,1,613,-220,-10838,784,12230,10,565,-221
45,-3247,-8974,12774,-1751,599,634,-2924,-9019,12932,-1738,266,516,-2489,-9017,12744,-1727,-51,386,-2457,-9358,12097,-1715,-322,279,-2539,-9524,12019,-1679,-593,193
46,793,-6879,14595,-2129,1285,942,51,-7860,15223,-2134,1237,854,-1222,-9927,16328,-2070,1049,728,-1672,-10684,16359,-1980,953,656,-1550,-10844,16397,-1832,866,583
47,-1214,7288,13699,819,-464,-539,-1393,7680,13475,823,-392,-475,-1564,8221,13051,812,-337,-408,-1636,9148,12102,764,-262,-321,-1621,9558,12044,720,-234,-281
48,6252,-8889,12796,-459,377,2754,6105,-8913,12816,-476,429,2766,5778,-9025,12844,-506,472,2754,5272,-9164,12843,-543,496,2711,4716,-9181,12850,-582,483,2638
49,-5163,-2009,14966,-953,-51,1413,-5188,-2160,14947,-927,-73,1362,-5056,-2361,15066,-903,-107,1315,-4910,-2591,15184,-877,-135,1262,-4559,-3217,15180,-843,-174,1151
50,-7313,-2620,14118,-1170,358,-742,-7338,-2648,14227,-1154,353,-674,-7230,-2958,14169,-1146,334,-576,-7256,-3202,14368,-1136,336,-527,-6986,-3593,14556,-1134,332,-467
51,-4413,671,15427,-683,153,616,-4654,978,15730,-699,133,624,-4575,486,15636,-725,116,627,-4393,93,15703,-737,117,638,-4258,-57,15853,-728,139,667
52,886,2597,15669,-416,600,374,640,2637,15649,-446,627,382,329,2519,15447,-479,646,409,511,2024,15082,-512,687,445,-403,2283,15813,-512,765,489
53,-4059,1898,15152,-982,602,1636,-3617,1216,15163,-1008,545,1593,-3320,878,15512,-998,513,1511,-2870,467,15818,-985,479,1406,-2007,-496,15918,-965,444,1290
54,-4649,-1276,15596,-66,-8,-245,-4506,-1337,15646,-51,5,-241,-4442,-1274,15619,-47,51,-229,-4569,-1193,15550,-54,107,-217,-4620,-1126,15517,-67,137,-216
55,-3380,2309,14620,-1328,856,1331,-4681,2959,15371,-1336,825,1309,-4669,2944,15426,-1331,704,1281,-4526,2625,15148,-1308,578,1212,-4338,2441,15118,-1182,356,1033
56,993,-587,14622,838,2329,304,289,-238,14708,773,2295,311,-163,79,14801,698,2230,301,-440,272,14850,614,2136,295,-728,256,15008,520,2035,285
57,210,-2669,16382,11,-30,-206,380,-2955,16393,14,-18,-180,442,-3084,16481,30,6,-150,500,-3135,16496,42,30,-121,548,-3115,16541,58,49,-91
58,6587,8806,13118,696,1520,549,5504,10010,12990,709,1392,493,4268,10763,12679,699,1225,389,3130,11200,12970,637,844,204,3505,10494,13736,571,741,169
59,6912,2054,9497,1387,1775,-1379,6263,2754,10734,1312,1377,-1541,5869,2711,11857,1225,1034,-1714,5435,1997,12375,1155,764,-1845,4997,1232,12738,1118,567,-1917
60,1696,5557,16443,903,547,-2083,2431,6000,15646,968,764,-1785,4052,6565,13655,1087,1087,-1324,5720,6339,13178,1110,1189,-1192,6651,5905,12924,1068,1325,-1171
61,4320,4612,15020,-353,-40,-918,4461,4615,15433,-667,-152,-917,4933,4486,15664,-938,-299,-905,5723,3945,15613,-1123,-443,-876,7306,2760,15105,-1224,-532,-756
62,-175,-955,14322,-295,138,-180,-128,-365,14350,-371,303,-406,-52,771,14704,-417,425,-537,191,1658,15462,-442,510,-550,258,1918,16163,-468,570,-492
63,6819,7114,13726,196,81,518,6801,8422,14236,172,162,481,6679,9022,14182,144,214,431,6562,9234,13906,94,267,344,6438,9204,13699,20,301,246
64,2433,-3841,15596,-929,-601,-284,2294,-3951,15554,-861,-686,-199,2302,-4100,15487,-780,-791,-125,2263,-4172,15489,-692,-891,-66,2000,-4352,15395,-617,-993,-26
65,4135,-5706,15773,894,-779,1508,3599,-5167,15801,975,-673,1467,2740,-4326,15857,1025,-617,1444,1611,-3673,15474,1017,-609,1470,1321,-3125,15254,1010,-691,1501
66,3943,5626,14442,1,-354,991,3893,5824,14196,-45,-381,1132,4667,6780,14316,-88,-387,1336,4748,6768,14256,-109,-368,1501,4937,6771,14374,-115,-345,1646
67,8052,118,14900,-374,253,548,8417,300,15015,-332,255,461,9090,522,14699,-296,242,348,9355,1283,14552,-273,332,82,8898,1332,14786,-312,407,-70
68,3834,-4447,15676,-29,1045,-86,3644,-4460,15816,-21,984,-124,3360,-4389,15962,-4,936,-160,2951,-4147,15842,21,895,-189,2767,-4089,15779,34,841,-205
69,2825,-8015,14768,856,-289,1105,2359,-8071,14581,891,-338,1104,2076,-7997,14551,952,-417,1136,1964,-7657,14704,1015,-506,1209,2163,-7088,14596,1079,-575,1293
70,2514,4318,15027,5,-8,44,2490,4459,14906,-34,6,49,2150,4495,14971,-122,37,30,1985,4346,15202,-167,27,12,1950,4161,15413,-217,1,-7
71,-176,-15013,15005,209,-248,-42,219,-14435,14646,431,-342,26,753,-13848,14512,637,-420,85,1161,-13484,14506,806,-481,139,1348,-13579,14488,943,-528,182
72,8279,-9816,19229,-1034,-522,-124,8279,-9899,19145,-899,-641,-148,8366,-9674,18838,-751,-747,-144,8969,-9438,17859,-601,-806,-122,9630,-8926,16580,-474,-732,-99
73,8551,7226,11961,3186,621,1569,8460,8592,11586,3048,673,1436,9125,12229,10526,2731,663,1177,9290,14306,10127,2550,625,1025,9057,16290,9775,2353,563,843
74,4185,-1664,15459,120,-119,-155,4597,-1646,15415,119,-95,-157,4897,-1614,15402,124,-65,-142,5090,-1543,15339,138,-27,-114,5331,-1477,15214,155,18,-82
75,3706,238,15764,-198,137,-91,3857,458,15511,-203,116,-124,4078,870,15301,-213,94,-156,4138,1223,15221,-232,76,-195,4020,1458,15087,-269,69,-232
76,4093,2798,14843,-1703,-53,670,3926,2169,14902,-1839,41,803,3330,479,15899,-2078,128,995,3277,-493,16299,-2192,96,1023,3779,-1585,16507,-2304,47,1001
77,2914,-2457,14176,-566,898,-1117,3216,-2843,14475,-603,920,-1252,3182,-3162,14584,-612,943,-1366,3036,-3487,14613,-614,953,-1456,2964,-3890,14390,-627,975,-1534
78,-240,-538,15546,558,40,-1785,-743,-586,15674,479,-73,-1443,-1341,-655,15815,425,-206,-1129,-1979,-699,16052,388,-365,-864,-2280,-834,16023,362,-537,-673
79,-3542,-907,14999,553,3270,-1571,-4847,-623,14982,484,3238,-1469,-5966,-396,14767,398,3171,-1362,-6925,-122,14488,300,3048,-1266,-7677,833,14375,103,2710,-1102
80,5175,5269,14478,795,1334,1111,5240,5248,14834,672,1295,953,5321,5101,15357,537,1234,767,5714,4658,15936,384,1163,547,6316,4034,16257,248,1116,312
81,6915,6488,13600,-200,488,793,6892,6625,13584,-216,601,746,6885,6730,13615,-226,675,726,6841,6779,13526,-216,715,711,6689,6693,13472,-195,729,695
82,6981,8856,10635,-446,299,4714,6370,8495,10708,-672,669,4905,5630,7964,11053,-883,947,5189,5255,7457,11609,-1034,1143,5481,4875,6817,12081,-1110,1305,5707
83,4127,-9768,13163,-269,50,-329,3985,-9962,13161,-277,107,-350,3760,-10125,13233,-282,154,-356,3328,-10115,13208,-278,186,-360,2788,-9853,13148,-265,207,-368
84,5313,-5546,14390,252,675,-640,4994,-5380,14359,278,629,-564,4969,-5245,14266,285,597,-522,4917,-4999,14220,281,593,-524,4551,-4765,14246,268,595,-548
85,5885,-556,14562,-2,195,117,5738,-920,14613,2,321,153,5597,-1317,14918,17,420,185,5433,-1529,15131,56,494,210,5196,-1546,15245,116,552,223
86,1100,-3694,16336,63,-269,-1210,1541,-3660,16208,134,-311,-1278,1642,-3469,16137,206,-304,-1334,1577,-3265,16230,281,-282,-1354,1537,-2954,16259,365,-260,-1331
87,9180,-9188,12782,399,1949,-2710,9001,-9068,13173,413,1919,-2622,8825,-9075,13563,408,1866,-2471,8471,-9340,13805,367,1848,-2293,7315,-10319,12943,328,1837,-2115
88,3454,5972,14799,676,-618,736,3384,5568,14888,627,-447,618,4202,5301,14999,605,-334,494,4801,4917,14936,606,-203,383,4995,4523,14998,608,-50,298
89,4210,1842,15834,-894,598,-292,3739,1395,16092,-946,761,-320,3488,625,16359,-1000,892,-321,3677,-233,16404,-1052,987,-304,3453,-809,16459,-1078,1040,-290
90,7679,-842,13984,395,244,-1560,7520,-835,14218,443,323,-1683,7802,85,14288,493,377,-1757,8342,1098,14550,530,443,-1845,7880,510,14668,529,525,-1941
91,5083,4355,14467,-326,-429,810,5165,4428,14552,-265,-470,798,5515,4691,14486,-202,-494,782,5421,4228,13903,-151,-439,767,5082,4046,13752,-145,-358,792
92,-6058,-1157,14540,481,643,-894,-5929,-612,14903,528,602,-948,-5892,-127,15436,558,572,-957,-6092,121,15809,569,529,-928,-6317,201,15876,553,456,-863
93,-3860,890,15106,-248,-779,936,-3777,1079,15227,-238,-809,954,-3643,1183,15218,-236,-839,992,-3481,1305,15237,-227,-866,1051,-3288,1409,15186,-217,-881,1110
94,-7665,500,14326,856,996,-1433,-7908,470,14294,835,973,-1383,-7968,482,14115,806,950,-1352,-8145,523,14006,781,928,-1305,-8426,506,13956,757,894,-1234
95,8163,1156,13673,211,458,2116,8453,1357,13250,207,551,2093,8377,1417,13374,185,689,2042,8260,858,14117,155,834,1915,8711,896,14356,170,840,1850
96,-1803,7020,13726,-939,-149,1904,-1788,6712,14199,-918,-234,1810,-1614,6393,14327,-904,-317,1719,-1245,5898,14182,-901,-385,1637,-1005,5318,14266,-895,-434,1580
97,-4097,-542,14550,975,503,-1471,-4815,-669,14114,947,324,-1221,-5195,-635,14049,937,146,-982,-5274,-372,14101,950,-13,-739,-5561,23,14047,986,-167,-478
98,-1282,2321,14295,785,231,-1482,-597,3458,14087,802,146,-1550,322,4512,14211,774,109,-1592,1359,5840,14666,699,126,-1594,2395,6682,15238,577,181,-1587
99,1945,-3502,14986,1442,-1107,2215,2514,-3551,15043,1393,-998,1958,2946,-3382,15197,1339,-866,1732,3535,-2928,15449,1290,-724,1523,4096,-2408,15674,1252,-552,1339
100,-9,329,14797,-3831,403,-2410,-29,40,14696,-3776,371,-2465,-593,-307,14953,-3675,322,-2527,-590,-199,14848,-3528,218,-2595,-264,513,14485,-3348,97,-2659
101,2078,-10681,13033,-2101,82,-1091,2314,-11351,12418,-2034,68,-1103,2458,-11245,11808,-1953,97,-1095,2912,-11385,11767,-1873,160,-1062,2949,-11681,12154,-1783,244,-1001
102,1802,-17307,3842,11,-781,87,1841,-17217,3802,56,-900,104,2079,-17072,3731,107,-1007,112,2522,-16694,3764,164,-1098,114,3005,-16164,3831,224,-1160,117
103,6902,-10763,10350,250,-1032,1250,7437,-10782,10576,258,-1057,1298,7845,-10971,10656,258,-1048,1349,8338,-11447,10516,244,-953,1422,8153,-11670,10301,246,-880,1420
104,2436,-15081,745,-53,-346,-46,3749,-13907,511,-25,-945,-226,4501,-13180,317,-103,-1057,-334,4737,-12479,-868,-300,-965,-426,2853,-12562,-1884,-641,-716,-473
105,2955,-15902,-1118,583,-187,-1148,3018,-15913,-1160,572,-150,-1246,3080,-15918,-1091,560,-103,-1333,3120,-16047,-1049,540,-49,-1417,3150,-16202,-1016,507,12,-1506
106,3074,-16587,-1244,1445,1472,-464,3221,-16775,-1303,1413,1488,-480,3268,-16877,-1299,1393,1521,-491,3319,-17131,-1360,1376,1561,-506,3263,-17369,-1388,1364,1601,-526
107,3751,-20246,-1519,-1299,-1345,-3333,3858,-20241,-1380,-1270,-1318,-3406,3916,-20019,-1258,-1278,-1316,-3419,4038,-19744,-1211,-1317,-1331,-3389,4130,-18947,-1240,-1411,-1347,-3260
108,3897,-18393,-1614,2087,3361,-2858,4065,-18532,-1611,2101,3449,-2796,4225,-18664,-1648,2105,3542,-2710,4432,-18948,-1737,2113,3642,-2603,4705,-19296,-1839,2131,3761,-2481
109,1736,-16527,-1441,-1240,1393,-792,1790,-16654,-1417,-1156,1275,-946,1888,-16718,-1494,-1054,1159,-1088,2038,-16758,-1500,-941,1060,-1221,2546,-16967,-1374,-729,945,-1491
110,3955,-16065,-1222,1003,1550,934,3925,-16076,-1252,1007,1625,1021,3884,-16135,-1263,1007,1692,1104,3850,-16239,-1247,1003,1754,1186,3799,-16278,-1274,1006,1854,1352
111,3155,-16234,-1025,391,-610,-933,3227,-16005,-1025,392,-592,-934,3261,-15860,-988,394,-560,-934,3325,-15782,-986,389,-517,-931,3347,-15788,-937,383,-461,-934
112,2497,-15659,-1007,-211,-1221,259,2474,-15396,-981,-208,-1300,263,2483,-15411,-1018,-205,-1375,263,2456,-15516,-1031,-204,-1449,260,2440,-15702,-1022,-208,-1528,256
113,2699,-16909,-1726,422,-4157,-1455,2660,-16764,-1728,396,-4269,-1429,2612,-16437,-1723,361,-4383,-1410,2516,-16127,-1735,325,-4493,-1396,2443,-15896,-1811,289,-4605,-1389
114,4595,-16301,-785,68,-119,-158,4616,-16046,-745,16,85,-126,4648,-15789,-709,-41,300,-93,4686,-15592,-688,-100,524,-57,4735,-15424,-724,-163,763,-24
115,2818,-16535,-1001,-1226,1277,-495,2802,-16812,-1075,-1244,1228,-512,2859,-17265,-1172,-1245,1168,-529,2895,-17676,-1219,-1232,1106,-543,2924,-17883,-1143,-1213,1042,-561
116,3178,-16077,-1144,-635,1341,1476,3153,-16389,-1204,-611,1381,1423,3159,-16692,-1206,-583,1414,1360,3181,-16809,-1229,-550,1442,1297,3268,-16966,-1191,-522,1467,1243
117,3063,-15088,-1055,-369,2964,82,2996,-14969,-1024,-437,2964,100,2851,-15108,-972,-614,2941,111,2810,-15432,-992,-709,2915,101,2784,-15952,-1098,-800,2881,76
118,3496,-17560,-1020,199,-373,342,3358,-17369,-1028,207,-359,327,3194,-17227,-1049,215,-356,300,3032,-16966,-987,216,-359,253,2891,-16716,-1033,211,-378,197
119,4494,-14027,70,161,52,-168,736,-15526,-2,111,-268,-162,251,-15144,-569,207,-607,-282,769,-14594,-935,281,-918,-457,1648,-14445,-927,296,-1156,-649
120,6727,-9252,11001,443,-4772,3084,5965,-9367,10354,36,-5621,3173,5172,-10475,10035,-316,-6171,3204,4370,-11702,10201,-580,-6446,3190,3695,-12951,10759,-779,-6407,3098
121,-2984,-12202,4022,-767,1949,-1537,-1869,-12568,3635,-749,1874,-1433,-779,-12993,3356,-701,1758,-1346,-20,-13343,3327,-639,1628,-1267,876,-13620,3208,-577,1471,-1195
122,9957,-11931,2905,-978,-1160,-282,10453,-11384,1954,-1097,-847,-210,11349,-11279,1451,-1256,-559,-104,12178,-11737,1339,-1444,-267,23,12157,-12864,1168,-1599,17,159
123,6595,-16585,4992,261,121,333,6263,-16378,4918,205,97,336,5857,-16085,4717,153,72,307,5560,-15787,4545,107,44,263,5361,-15473,4352,66,16,210
124,5298,-15020,1421,-369,36,-7,5357,-15528,1658,-359,91,-29,5486,-15701,2066,-380,108,-40,5518,-15993,1625,-380,113,-75,5517,-16364,1423,-377,132,-120
125,4540,-17516,3377,128,-184,93,4100,-17374,3494,130,-173,131,3657,-17246,3515,130,-150,159,3319,-16974,3463,119,-126,169,3029,-16550,3259,78,-65,160
126,844,-13603,-1299,-570,831,449,971,-13653,-1228,-454,853,400,826,-13679,-1298,-343,880,332,484,-13838,-1413,-238,896,253,265,-13980,-1324,-137,889,170
127,4635,-15447,59,236,-9,-27,4452,-15534,457,224,-49,-55,3872,-15772,979,203,-79,-136,3794,-15854,1253,187,-84,-179,3876,-15875,1510,167,-69,-222
128,8290,-15223,4328,-2,257,342,8857,-15503,4393,22,266,331,9243,-15604,4366,41,278,326,9483,-15675,4448,52,277,331,9566,-15697,4773,44,258,352
129,11521,-11955,3860,-384,880,-594,11319,-11902,4386,-432,974,-709,10630,-12634,4380,-431,1006,-748,10336,-13210,5016,-436,983,-810,10447,-13317,4951,-438,943,-845
130,8696,-13368,6244,128,166,-2103,9139,-13395,6376,93,205,-2264,9373,-13600,6400,51,250,-2449,9469,-13690,6357,19,298,-2665,9460,-13960,6327,-1,359,-2901
131,7402,-11734,10212,-955,-68,-1,7355,-11843,10216,-916,-69,-27,7278,-11903,10362,-873,-73,-43,7240,-12052,10543,-830,-70,-46,7159,-12331,10533,-775,-62,-33
132,3363,-14777,6488,-2,42,658,3421,-15047,6558,0,9,586,3531,-15157,6631,6,-8,553,3752,-15181,6694,14,-20,521,3936,-15081,6703,19,-26,481
133,3647,-11976,10144,-379,-93,-531,3611,-11824,10014,-345,-60,-360,3496,-11728,9933,-307,-15,-153,3162,-11702,9842,-285,32,52,2949,-11797,9661,-273,60,217
134,4522,-15642,1942,34,-39,243,4471,-15694,1965,22,-24,233,4367,-15776,2061,6,-11,244,4121,-15882,2079,-13,-3,251,4171,-15824,2201,-24,-17,252
135,9471,-11841,8401,-128,2,-754,9352,-11804,8281,-137,9,-821,9257,-11606,8119,-147,5,-918,9266,-11524,8066,-167,-2,-1036,9177,-11594,8341,-188,6,-1262
136,7399,-13614,5322,572,215,344,7372,-13635,5488,573,145,401,7517,-13720,5400,561,93,441,7791,-13797,5333,549,72,469,8097,-13828,5402,541,77,490
137,4206,-15461,4799,-694,226,-1024,4606,-15640,4659,-697,188,-1032,4945,-15707,4553,-689,169,-1056,5488,-15572,4555,-668,157,-1092,6215,-15472,4501,-655,140,-1133
138,12477,-11648,1799,16,119,-312,12434,-11784,1714,11,146,-306,12365,-11792,1770,8,170,-315,12280,-11847,1618,-10,227,-344,12133,-11921,1474,-5,251,-359
139,8130,-14262,6343,386,548,263,7556,-14285,6310,418,485,219,7226,-14115,5968,441,403,168,6520,-13403,5723,484,285,81,5801,-13149,5863,483,259,57
140,8276,-13783,5345,216,-52,604,8354,-13723,5361,223,-23,607,8299,-13667,5302,223,26,599,8006,-13681,5441,233,84,590,7641,-13567,5653,252,119,582
141,5198,-16172,-2323,-327,-434,446,5174,-16347,-2213,-253,-467,322,5050,-16558,-2176,-200,-515,301,5112,-16494,-2175,-141,-559,299,5152,-16139,-1975,-75,-584,306
142,9398,-12411,4327,606,356,-434,9434,-12377,4358,606,310,-383,9453,-12215,4509,618,272,-347,9536,-12141,4682,617,240,-319,9563,-12144,4871,616,206,-292
143,8337,-11238,7479,1664,-161,-66,8545,-11054,7619,1584,-202,-11,8500,-10104,7583,1440,-225,131,8845,-10067,7800,1368,-219,203,8842,-10045,7899,1290,-170,267
144,4894,-14426,424,266,33,-122,5461,-14641,299,204,20,-61,6000,-14894,145,136,10,3,6435,-15132,79,69,6,54,6672,-15264,55,8,11,83
145,9454,-13337,4700,160,108,-50,8795,-13260,4747,183,103,-26,8196,-13200,4695,197,88,25,8110,-13368,4488,210,51,75,7766,-13351,4475,234,13,146
146,11722,-17214,2427,232,87,42,12306,-17260,2459,250,57,164,12674,-17083,2350,290,67,256,12632,-16852,2222,342,122,302,12241,-16494,2149,404,205,272
147,6604,-13787,1644,770,107,-861,6921,-13585,1419,760,20,-778,7437,-13460,1110,748,-24,-728,7928,-13558,996,744,-4,-691,8175,-13801,1117,733,58,-661
148,8710,-15288,497,635,190,-463,8638,-15011,254,669,203,-470,8249,-14789,332,701,262,-435,7553,-14655,513,719,327,-368,6985,-14545,667,722,355,-306
149,1899,-16920,-1002,-262,84,5,1985,-16934,-1222,-180,60,43,1973,-16979,-1344,-127,59,32,1837,-16958,-1438,-81,59,17,1832,-16963,-1544,-37,58,-3
